Zhuyin	Hanyu Pinyin	Tongyong Pinyin	Frequency  (per million)
ㄧㄢ	yan	yan	6534.97
ㄧㄣ	yin	yin	4376.57
ㄧㄤ	yang	yang	3466.52
ㄧㄥ	ying	ying	6135.64
ㄨ	wu	wu	9481.71
ㄨㄚ	wa	wa	200.72
ㄨㄛ	wo	wo	3802.92
ㄨㄞ	wai	wai	1618.26
ㄨㄟ	wei	wei	10174.16
ㄨㄢ	wan	wan	4202.58
ㄨㄣ	wen	wun	7884.69
ㄨㄤ	wang	wang	6413.38
ㄨㄥ	weng	wong	49.99
ㄩ	yu	yu	10639.33
ㄩㄝ	yue	yue	4434.27
ㄩㄢ	yuan	yuan	11428.22
ㄩㄣ	yun	yun	1417.61
ㄩㄥ	yong	yong	4750.43
